tweet_id,tweet_text,img_url,lgbtterm1,lgbtcat1,lgbtterm2,lgbtcat2,lgbtterm3,lgbtcat3,raceterm1,racecat1,raceterm2,racecat2,raceterm3,racecat3
1383138800151318529g,"Be embarrassed, Minnesota. Be embarrassed cops across the US. #BLM https://t.co/RIgE8hZHMG",http://pbs.twimg.com/media/EzHlZ6bVIAMWXIQ.jpg,NA,NA,NA,NA,NA,NA,blm,black,NA,NA,NA,NA
1407357275279396867g,Racist....... https://t.co/5oBTPZmo8y,http://pbs.twimg.com/media/E4fv-zNXoAIjSQ2.jpg,NA,NA,NA,NA,NA,NA,racist,minority,NA,NA,NA,NA
1347072846795853824g,@PamelaGeller Blue lives matter 😉 https://t.co/jt16W9XhuJ,http://pbs.twimg.com/media/ErHDnYUXEAAD2eT.jpg,NA,NA,NA,NA,NA,NA,blue lives,black,NA,NA,NA,NA
1407159551128838144g,@CardinalConserv I feel sorry for the fools who did. Or shall i say the white supremacists and racist who did. https://t.co/M6MqF9F9Tc,http://pbs.twimg.com/media/E4c8J3DVgAQ3DYW.jpg,NA,NA,NA,NA,NA,NA,racist,minority,NA,NA,NA,NA
1348375817588531200g,@StephenKing Finally social media gets a spine no longer will they allow conspiracy theories hate and racist tweets and rants that’s about 90% of your followers🤦🏻‍♂️ https://t.co/wenoTDopul,http://pbs.twimg.com/tweet_video_thumb/ErZkqDfXEAE53QM.jpg,NA,NA,NA,NA,NA,NA,racist,minority,NA,NA,NA,NA
1345761121874141185g,For my #latinx friends! 😂 “Mira a ver si quieres un chancletazo 🩴” #hispanic https://t.co/BP0yxiw3UV,http://pbs.twimg.com/media/Eq0am4vXMAEcWRv.jpg,NA,NA,NA,NA,NA,NA,hispanic,hispanic,latinx,hispanic,NA,NA
1347991673775779840g,@1strongrobin @PetraMcCarron2 @Fix8d2022 @justiceandpeas @42hopestreetbus @LeanneKuni @JusticeisBlue @MurphyVorst @Mayra34326655 @BBurch93 @TinaLan55340829 @MeMainuli @LanceUSA70 @BetoEsteves2 @cronenyc @katibug817 @ReneHauser1 @Wuhufu4 @RogViking @trumpsucks76 ✌🏼💙 Ifb resisters! #FBR #BLM #StrongerTogether #KindnessMatters #BidenHarris #FreeRealityWinner #WearADamnMask https://t.co/m1MLvlUoht,http://pbs.twimg.com/media/ErUHSGSXUAAJ9N_.jpg,bi,bisexual,NA,NA,NA,NA,blm,black,NA,NA,NA,NA
1347923068530921474g,Wanted Dead or Alive and because because BERDOO: norms club aka satans slaves or lincoln one percenters of SCOTTLD https://t.co/5G9iGeOLjJ,http://pbs.twimg.com/media/ErTI4zfW4AEFRlg.jpg,NA,NA,NA,NA,NA,NA,slaves,black,NA,NA,NA,NA
1442605063952683009g,Hoffa leaves as JIHAD against ROTHSCHILD WINDSOR ILLUMINATI Racketeering BALFOUR Fraud Govt. Pioneer of cancer research &amp; Oppressive dis-eases of the Afferent Sensory Spinal root of the nerve: MS/ Parkinson's/ fibromyalgia/ scoliosis. ROTHSCHILD Slavery/ SUSANNE Frankel https://t.co/yEJjPs587c,http://pbs.twimg.com/media/FAUpppqUUAMcDmb.jpg,NA,NA,NA,NA,NA,NA,slavery,black,jihad,middle eastern,NA,NA
1386986757296640000g,@WitmerCarl @ThomasPKennedy3 @RandPaul @LouTelano @TrumpLincoln @tony_sanky @iamjumpingin @thetoyman1 @KayHair1 @jjauthor @clamsroll “What President Biden says does not reflect the position of the administration” Jen Psaki #Trump Absolutely Right About These🐀🦨#DNC #SOROS #OBAMA https://t.co/5V6okbGhbo,http://pbs.twimg.com/media/Ez-RGmdX0AE-_zr.jpg,bi,bisexual,NA,NA,NA,NA,soros,jewish,NA,NA,NA,NA
1408260168006131715g,Chinese propaganda is so bad https://t.co/cjdHprV71l,http://pbs.twimg.com/media/E4slKJmXoAYL4qf.jpg,NA,NA,NA,NA,NA,NA,chinese,asian,NA,NA,NA,NA
