image,text
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1080259124569493505g.png,@AbigailHebert @carlyjcounts Oh y’all just thought I was gonna leave the gossip of the faithful black man in 2018? https://t.co/EkEkruXYCD
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1080261837717946368g.png,"If YOU didn’t watch any news during Christmas break, here is what ya missed 😂😬 Migrant Caravan Demand 50K To Go Back Home Or Will Cross Illegally (Full... https://t.co/czWi6J6zy1 via @YouTube https://t.co/ZOMVDRD6CX"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1080295222041608192g.png,"@ggqt3 @trixietreats11 THIS is why so many white people are fearful of Black people. Do We have justification for feeling oppressed, targeted, attacked, and treated like insignificant animals? I SAY YES. We're FED UP &amp; WON'T BE TAKING THIS CRAP ANYMORE. https://t.co/I2GXPx9pCN"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1080448963847712768g.png,"@davidakin Somehow, the North Korean woman seems more believable than the woman on Ford's News Network. #onpoli https://t.co/0tqUxRMByb"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1080466951665840128g.png,Pájaros mexicanos...! https://t.co/Y5WlFRRqf5
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1080482624085417986g.png,Better get y’all a ugly nigga 🤣🤣🤣 https://t.co/bShfmdUYHB
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1080489134911881222g.png,This the energy non-Black people need to come with this year❗️ https://t.co/6P7DGNmxGN
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1080645311448707072g.png,"Trump: Day 712 -Day 12 of the #TrumpShutdown -Vows 2 Keep Government Shutdown -Went on a String of Unhinged Rants -Lied About Illegal Immigration Stats -Claims He ""Essentially"" Fired Mattis -Defended Russia's Afghan Invasion -Displayed Poster of Self During Mtg https://t.co/k9TICdtmc0"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1080665000321183744g.png,These niggas on this podcast just said they didn’t like how the grinch stole Christmas (2000) https://t.co/etv3AVGKte
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1080688442680455168g.png,"@judithravestein @MikeTokes @Jali_Cat @JeffFlake @POTUS If you like Communism, don’t like your Freedom,&amp; you want to be Controlled by the Illuminati Globalist, Communists, who want to Rule the world with a One World Order, you won’t like President Trump . https://t.co/AVgPQHIFaM"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1080754463504244736g.png,Yes that was really me on subtle asian traits. Definitely thought it was gonna be a low key post with a few fans that recognized but holy hell https://t.co/xaPCrvPNGC
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1080791802263814144g.png,It’s clear that our immigration system is overwhelmed and a disaster. The Dems have walked away from the negotiations. They're playing politics instead of dealing with this growing illegal immigration danger to Americans Tell Congress to stop obstructing n demand Border Security https://t.co/mo3EAhlMso
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1080824272640266240g.png,"You wasn’t listening either RT @DMVNYTY: @WinkWestwood @LeLee_Marie Fuck that. Don’t throw me in no box. Humans are trash nigga. Plus we not on men shit no more we on god shit. Have some pride man, stand up for us. Humans as a whole aren’t shit bro. https://t.co/fNh10BIb2T"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1080883161041698817g.png,"Fascinating to watch @RepJeffries, future speaker?, nominate @NancyPelosi, as African American and older members stand behind her. A contrast to those who would oppose or challenge her - white males from swing states and younger women from solidly blue states https://t.co/kB3Tbc2YwX"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1081002830905987077g.png,@tgunsup Authentic Mexican food &gt; cheap chili San Antonio &gt; Cincinnati https://t.co/MRXKL1pU2d
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1081009400247136256g.png,That racist coward needs to be ..... #WhiteTerrorists https://t.co/pvqkqm263C
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1081019006428082178g.png,“I was in the room when (R. Kelly) married Aaliyah...” negro WHAT???? #SurvivingRKelly https://t.co/oKAKL7RXIK
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1081137516131037185g.png,"@jm27501 God have Mercy on us all! MSM, Silicone Valley, Public Muslim Rituals &amp; Dems are destroying our country! Whatever happened to private expression of faith &amp; public respect for fellow citizens? God is watching! https://t.co/EYiFTtwNQh"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1081188651688751105g.png,@darhar981 @ouchinagirl DCugly: DegenerateCongresswoman #RashidaTlaib 7thCenturyIslamist GoesOffOn #Trump: We'reGoing to 'Impeach the MotherF*cker! Such AN ACTUAL EXAMPLE OF #ISLAM/#MUSLIM THOUGHT. Female FILLED WITH BITTERNESS &amp; HATE...Go back 2 MiddleEast-be with like minded HATERS. #RT #AMERICANS https://t.co/3dqQ3BoIps
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1081232823896309760g.png,Democrats don’t want to strengthen our borders and yet immigrants are treated better than our many homeless citizens #GovernmentShutdown #FightOn https://t.co/Mwrt91omQ0
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1081363787423322112g.png,@jonallendc Question ... Are media left-wingers like @JonAllenDC absurdly dumb enough to think their pablum won’t be disproven? Or are they so absurdly “woke” that they arbitrarily decide that words like “dishonored” can never apply to Muslims? https://t.co/WuTS4nQUpf
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1081558317137317889g.png,"I complained about a Muslim in Congress that called our POTUS a ""Mother-Fucker"" and Facebook threw me in jail. https://t.co/G5dHXc3hSt"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1081573876080017409g.png,@LouDobbs America wants a strong southern border wall! https://t.co/ek74S4rHtP
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1081664656337448961g.png,#BuildTheWall #MyHouseMyAmerica #shutdown #kag @1TechnoBuddy @Dinunziosm1 @NO1GifQueen @rnlynn1958 @RebekahPrettym3 @ColoradoKaren https://t.co/8Brzrv7b0E
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1081777318866100224g.png,It's time to say good night #LivePDNation but to all of the LEO's... Lets be careful out there! #LivePd @LivePdFans #LivePdMass #backtheblue #LivePDWatchParty #BlueLivesMatter https://t.co/mrI2HZqixY
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1081779490014007301g.png,@natasharothwell He's more than a psychopath! He's an ARROGANT IGNORANT BIGOTED LYING CHEATING RACIST SOB S***HOLE! Can't wait TIL He's gone out of our Whitehouse &amp; Country!! https://t.co/ewjPrRq1xa
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1081882437867716608g.png,"Thoughts? Tennessee Judge Goes On A Tirade About Violence Among Black Men Being ""More Effective"" Than The KKK! https://t.co/RyEyF8iOQs"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1081909739255152640g.png,@DFBHarvard @misspete64 The woman has had her face stretched so tight that it cut off blood flow to the brain 20 years ago. She is a menace to this nation and should be treated like the lunatic she is. #BuildTheWall #BuildTheDamnWal #IllegalAliens #MAGA #Caravan https://t.co/iUkINvFAbx
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1081969316235493377g.png,@JRubinBlogger @wisgop @GovWalker @RonJohnsonWI @SpeakerRyan @onetoughnerd @MIGOP @GaRepublicans @BrianKempGA @SchuetteOnDuty @GOP These vicious racist Republicans even target the FIRST AMERICANS. @NDGOP https://t.co/5hL0jgcEBF
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1082283766389846017g.png,@AOC #Buildthewall https://t.co/XUxSCZnsWC
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1082289921182834690g.png,"2 months later Ginsberg isn’t well enough to return to work. Day after surgery Ginsberg is voting the tie breaker against Trump’s travel ban 4 days later media reports she is working full time from the hospital File a complaint, force resignation #TooOld @POTUS @JudicialWatch https://t.co/vfm4Cp1UoV"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1082439765046157312g.png,Mfw I see Asian fusion restaurants https://t.co/0Ap8On4G3D
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1082690990492798977g.png,trump's strategy WRT the border wall is called BLACKMAIL. Unless you agree to put $5 bil. into my slush fund (Is there really any doubt about who will get the money for the wall) I will bring this country to its knees. Guess what trump... https://t.co/mVDoZEM5vy
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1082695518806069248g.png,@RobAstorino you need to read about the central park five and trump housing discrimination if you think he is not a racist https://t.co/do4XwMlBGN
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1082831504252649472g.png,This is how real Mexican-Americans see you!! https://t.co/P7MNLgZ6iG
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1082979033623789569g.png,What did everyone really learn last night? President Trump made the case for border security and wall funding. Schumer and Pelosi made the case for term limits! https://t.co/hTpaXgglF5
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1083038246618189829g.png,Thank you Law Enforcement! #BackTheBlue https://t.co/tgzaRxuvfP
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1083105628481077253g.png,"What hypocrisy and political grandstanding! Last night-.@SenSchumer border wall is “ineffective” and “unnecessary” But in 2009: ""630 miles of border fence"" made border ""far more secure"" because it ""created a significant barrier to illegal immigration"" https://t.co/zsHuZF4GdK"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1083110124024221704g.png,@realDonaldTrump @SpeakerPelosi @SenSchumer #BuildTheWall #MAGA Americans need Protection like you Dems have provided for yourself!!! https://t.co/nTRxr0478w
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1083129417713545216g.png,#DonaldTrump #Trump #DumpTrump #MexicoWillPayForTheWall #BuildTheWall #maga https://t.co/gy06IohiZJ
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1083216648285417473g.png,What would you say to @SenSchumer and @SpeakerPelosi if you had the chance? Please Share #BuildTheWall #WallsWork #SchumerPelosiShutdown #MAGA https://t.co/YgTo2u4YCD
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1083353223719804930g.png,The more things change the more they stay the same. The Dems didn’t want to give up their slaves and now they don’t want to give up their illegal low wage workers/ voters. https://t.co/uyW099pCft
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1083465827171602434g.png,@ChrisCrocker How is she though? who does ur Mexican big bro need to CUT https://t.co/LatxihZTI4
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1083518272337838083g.png,"@CoryBooker Are you okay with 310k illegal border crossings a year, or 1.24M in 4 years? What are your solutions to deal with not only stoping the flow but to deal with the 11M already here? You seem to have turned a blind eye to the actual facts. #BuildTheWall #ImmigrationReform #DoYourJob https://t.co/tMxVDTzKKG"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1083777974590230528g.png,Idc who is president in 2020. As long as we’re done voting in white men. https://t.co/Sbc8Js6qfo
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1084095986492997633g.png,"@ArizonaKayte @RuthieRedSox Clearly the enemy of the USA. Illegals are not here to MAGA. They are here to plunder, destroy, drug and kill us. They arrive by the thousands, hide behind women &amp; little kids, and dump them or just kill them. In the US they roam with gangs that sell drugs, rape &amp; kill. A wall?? https://t.co/V8cfR6LLYV"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1084220040126164992g.png,"According to the pathetic NSW Police, Asian Australian, 74 year old Danny Lim is a threat to the public by wearing a sandwich board sign telling people to “smile” and preaches “peace”. Here is how the #police man - handled him. Privilege? Racial bias? #PoliceBrutality #newspol https://t.co/UWstC6HdDq"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1084285723614818304g.png,ol girl making 10k off 1k horny niggas? first of all: https://t.co/dY9km3olGV
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1084477581884157952g.png,@realDonaldTrump REGULATING GUN CONTROL WILL BRING DOWN CRIME THROUGHOUT THE COUNTRY!!! IMMIGRANTS CAUSE FAR LESS CRIME THAN OUR OWN CITIZENS. TRUE CRISIS? TRUMP AND RUSSIA!!! https://t.co/YVZvIjZt82
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1084521210124353536g.png,@realDonaldTrump @FoxNews Trump you divided America people &amp; you are dangerous person in the world. Look at Canada how many immigrants they have &amp; so proud of them too. Shame on you https://t.co/N4I3bskNfo
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1084639178854461440g.png,#buildthewall #governmentshutdown #commonsense @Franklin_Graham @charliekirk11 @EastSideTea @EastWakeGOP @marcorubio @SCF https://t.co/SXqLoArnV0
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1084895396114194433g.png,And then it got amazingly gay. Lol https://t.co/XCLoeeIdM9
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1084909960977399809g.png,"I just spent 45 minutes clearing snow out of my driveway. I’m finna call this nigga and beg like Keith sweat. “Babe, you SURE we can’t figure this out? I just miss you so much....” https://t.co/gAcOEbzZFC"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1084911436592222209g.png,@The_Trump_Train @shannon21661 Democrats...are they from RUSSIA? Now we've got to let these illegal aliens into the United States and here's why... https://t.co/4H1Goub0zB
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1084957990724096000g.png,@OMNIcnsrvative @DavidRutz @benshapiro @TamikaDMallory @MeghanMcCain @womensmarch I'd be more than happy to debate the following article with anyone who disagrees with the content of it relative to Farrakhan: https://t.co/tON1i8Welp #BlackCommunity #AfricanAmericans https://t.co/TMIDy7eKd6
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1085059991298625536g.png,"@w_terrence If anyone doesn’t understand the need for border security, they most likely are for open borders and straight up wacky. https://t.co/WJhKy4Flv7"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1085090082917412864g.png,I caved for my discussion this week for class so now I'm writing about attribution bias &amp; police brutality against black men. Let's hope I'm still in the program by the end of the week. https://t.co/tYSCskllUe
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1085253928562950150g.png,@jojoh888 So much for Soros’ ability to prognosticate. His 2018 ‘Democrat landslide’ came up a tad bit short. The Senate &amp; Presidency are firmly in the Republican’s grasp and 2020 looks like this is very likely. https://t.co/c61Cebf575
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1085322531299643394g.png,"...we are not the only researchers questioning the so-called ""end"" of World War II. #HitlerEscaped #NAZIS #NAZI #FourthReich #Antarctica #Base211 #WW2 #WorldWar2NeverEnded #CULTS #NWO #Evil https://t.co/vaECB41luR"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1085561601279905792g.png,#BuildThatWall https://t.co/HEb76yOOd1
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1085622249430892545g.png,#BuildTheWall #KAG @1TechnoBuddy @Dinunziosm1 @NO1GifQueen @rnlynn1958 @RebekahPrettym3 @ColoradoKaren https://t.co/i2mgoXe9gp
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1085691463986487301g.png,@AquafarE another name to add to hashtag of black bodies taken too soon #Violence #blackbodies #sayhername https://t.co/DP0nGrLT8Z
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2019_batch_300/1086084056419164160g.png,"@realDonaldTrump Thank you Mr. President, for standing strong against the Demonrats, and FOR We the Deplorable. We have given up too much. The time has come, to take back, what is ours. #AmericaFirst #MAGA #BuildTheWall #LiberalLunacy https://t.co/9KALsGeQyO"
