image,text
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1079966033321041920g.png,#jimmyfallon es ahora una tendencia en #MexicoCity https://t.co/MqB1Ncaqm8 https://t.co/rV0JbkhbNG
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1079977140316225537g.png,Coons Rule! Special Cameo: Mapache Asistente For @CCPerro Happy New Year everyone!! 🎉 #Furry #furryart #coon #raccoon #graffiti #tags #ccp #urban #ArtyandChikle https://t.co/CPams7suL9
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1079979788574560256g.png,@OsheaJacksonJr Bron Nigga!! https://t.co/OLCNnHnKUP
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1079982278951034880g.png,Only real niggas now https://t.co/lQzTcqCXwM
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1079985577955594240g.png,#añonuevoenconvoy es ahora una tendencia en #MexicoCity https://t.co/oeD4PkuOmW https://t.co/cBnBC4Olqf
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1080007608981966848g.png,Happy #Kwanzaa Day 7 Principle #Imani #Faith Get involved NOW https://t.co/TmkxEaOsPr #DecoloniseYourLife #PanAfrican #Fintech #AfricanDiaspora #ILoveBlackPeople #HBCU #spreadthelove #supportblackbusiness #blackowned #BlackUnity #BlackPower #BlackFamily #melanin https://t.co/cQJXqz8qhm
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1080025123988692992g.png,#imss es ahora una tendencia en #MexicoCity https://t.co/DdQNULNpBx https://t.co/Vh4uZE3GP3
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1080119389775691776g.png,"Also, my tweet wasn’t from the office. It was supposed to be a white guy joke. But go off https://t.co/SBt0SclvEl"
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1080131025563353089g.png,Feliz Año Nuevo 2019 #Tampico #Tamaulipas https://t.co/iV1vEqqXTW
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1080141584728014851g.png,Top News: House Dems release their plan to re-open government without funds for border wall; Trump opens 2019 tweeting in ALL CAPS; O'Hare 'people mover' will shut down completely until the fall Via @chicagotribune https://t.co/8OZSZ7bDQQ https://t.co/T6MhSTjwTa
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1080151028387917824g.png,@realDonaldTrump Exactly! #BuildTheWall https://t.co/naqnePfJ7V
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1080158020871639040g.png,Lost a load on the road nigga had to shake back. @BCFMONEYMAN1 🥶 https://t.co/DSZvXIZKkx
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1080171621015580674g.png,"@realDonaldTrump Your stupid wall won't stop drug smugglers .... spend the money on better security ...... ""illegals"" getting in is on a decline and you know it.... has been for ten years .... worry about the drugs flying in ... or on boats ... https://t.co/gYRrxvGVTs"
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1080174204652158977g.png,@StollmeyerEU @realDonaldTrump @POTUS @jairbolsonaro The USA is with our President! All 63 million of us. #BuildTheWall #ImpeachDemocrats https://t.co/nw9Q0QXpNH
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1080174593892003840g.png,"Was scrolling through You Tube and saw this from @cronkitenews. 🤙🏽⛳️ In Arizona, more Navajo take to the dirt for 'Rez golf' https://t.co/z7xSgdAoIh via @YouTube https://t.co/yarIvBfcgC"
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1080177126383513607g.png,A NIGGA THAT CANT TAKE CARE OF HIS DAUGHTER IF HIS LIFE WAS ON THE LINE TO DO IT CANT NEVER MAKE NO SHIT LIKE THIS https://t.co/DODtztiEXA
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1080188658244829185g.png,"#Americans &amp; #ChuckSchumer in 2009: Illegal Immigration is wrong, plain &amp; simple. https://t.co/P6zWkVnQnk It’s 2019, ten yrs. later, what’s been done? Negotiations Talks Promises Nothing Illegals still coming in #TimesUp #FundTheWall #BuildTheWall #AmericaFirst #howdidyoureact https://t.co/WOmzSE37cS"
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1080192227140296704g.png,Obviously the gay transmasc ace anthem would play. https://t.co/cBnH62FSKw
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1080195738728947712g.png,@realDonaldTrump The Democrats have already given you billions of dollars for your immigration policies. And you haven’t touch the money. Do you not know it’s there? Or Are you just begging for more because you think you can? https://t.co/8a6UbU7PdC
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1080195878978273280g.png,Lol this is funny cause niggas really don’t stay out my face. Turn away from one nigga run into the next. https://t.co/hiMQNu8iLl
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1080201122499850240g.png,"@ewarren Fauxcahontas tries to rename herself ""Drinks With Socialists"". It's not going to work Cherokee Liz, I don't give it not even 1/1024th of a chance. #MAGA #HappyNewYear2019 #HappyNewYear #ElizabethWarren #Pocahontas2020 #Fauxcahontas https://t.co/fs4Oxk4KJ1"
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1080214025915514881g.png,"@RevLDReed And be not conformed to this world: but be ye transformed by the renewing of your mind, that you may prove what is that good and acceptable, and perfect will of God. Romans 12:2 https://t.co/39wrI6OOpd"
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1080217953151250432g.png,"Welp, 2018 ended with me dragging Nazis and 2019 began with me getting blocked by Nazis! https://t.co/vh7jhPyEOM"
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1080221798317330434g.png,"365 days; 365 opportunities. Therefore, since we are surrounded by such a great cloud of witnesses, let us throw off everything that hinders and the sin that so easily entangles. And let us run with perseverance the race marked out for us. Hebrews 12:1 https://t.co/bLf0lk4vpS"
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1080224701916401665g.png,"@JosephNSanberg This can take what could be a couple of weeks in jail to a couple of MONTHS in PRISON. This has to stop. Sincerely, a white man (sorry) with neuropathy. #BlackLivesMatter https://t.co/xfKqSPlLwO"
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1080225585065005061g.png,"Lawrence, Ks was founded by Abolitionists. 105 years ago, they were all living under canvas and in makeshift shelters in this weather... Pro-slavery terrorists had burned the town to the ground. They stuck it out and voted Kansas free. May their spirit warm you in 2019. ❤️🔥⭐️ https://t.co/p4wmmMVTDR"
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1080228213476024326g.png,#Editorial EL FILÓSOFO DE GÜÉMEZ…Por Ramón Durón Ruíz (†)… *¡QUE NO ME FALTE!* #NLD #Reynosa #Matamoros #CdVictoria #Tampico #Altamira #Madero #Mante #Tula #Jaumave #SLM #CDMX #Edomex #Monterrey #SLP #Veracruz #BuenMartes #Tamaulipas #1Ene #LOLMX https://t.co/rMlb5UzeC5 https://t.co/a2EBcZFTJX
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1080238739505537024g.png,My grandma said the N word and then proceeded to talk shit about me loud as fuck in the kitchen as if I couldn’t hear...... right. https://t.co/p77MGdtrBw
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1080243844288053249g.png,.@TampicoTams: Modernizan los Espacios Deportivos de #Tampico #NLD #Reynosa #Matamoros #CdVictoria #Madero #Altamira #CDMX #Edomex #Monterrey #Queretaro #SLP #Veracruz #Tamaulipas #FelizMartes #Tlaxiaco @GobMunTampico #LOLMX #propositos2019 #1Ene https://t.co/vRH0s8sPwV https://t.co/zYZD69fjEy
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1080249677822480388g.png,I bought a couple volumes in Japan. Never read the manga but damn I might need to learn Japanese or buy the English set. Every panel is jaw dropping gorgeous. #AKIRA https://t.co/JDuyPdEaUJ
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1080253779864363009g.png,"@DANNYCARLINO @ShaunfromEP Wait, was she born in the U.S. or the Cherokee Nation??? https://t.co/mldh2WgMlR"
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1080278262843092992g.png,Lmao Youngboy is a joke dont ever compare that nigga to Yak 😂💯 Nigga needs to get his numbers up before he can even be placed in the same sentence as him 😂😭 https://t.co/YyMW1K0fkZ
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1080287372238049280g.png,basic white girl 2019 selfieeeee 🎉🧡😍 https://t.co/KCfmMBEhF4
https://raw.githubusercontent.com/heranmane/label_studio_images/main/twitter_data/aws_model_filtered_images/2019_meme_aws0729/1080304047570280448g.png,"The femme du monde shows in a thousand ways that which she feels herself...Queen Anthony, Chloe Jacobs, Roxie Starrlite, Blaze Duvall, and Melanie Masters -These women of the world have something to say. Come hear it!Door 9pm|Show 12:30am #DiscoLR #DragShow #nightclub #littlerock https://t.co/Ulkm3c8sqE"
