image,text
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2018_batch_300/1028341138359496708g.png,"BIG DIFFERENCE, who's racist? https://t.co/WSMUnhg1lv"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2018_batch_300/1028709640740192258g.png,NEO-NAZI OATH: ICH BIN EIN RASSISTISCHES ARSCHIOCH!! (I am a racist asshole)!! https://t.co/Zem2mEHVRn
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2018_batch_300/1028737846595805184g.png,@realDonaldTrump @DarrellIssa @foxandfriends RACIST https://t.co/Ow2ziqvKob
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2018_batch_300/1028803415487520773g.png,"@kimgoodspeed1 @McJuststop @MrDane1982 That’s what I’m saying, there were multiple reasons ppl voted for these schmucks. Seeing them as outsiders or mavericks was just one. (yes, if racism wasn’t disqualifying for someone, they‘re racist - “economic anxiety” is in quotes on purpose) BS fans wanted free shit definitely https://t.co/eOpG4OHla1"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2018_batch_300/1028816491439906816g.png,One of the few silver linings of nazis coming to dc is watching every bartender and server in every bar and restaurant in the city telling them to fuck off. @ExilesBarDC https://t.co/TRIQbBMmdI
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2018_batch_300/1029100265931243520g.png,@FreshOffABC @ABCNetwork What Hypocracy to mock #humansextrafficking #Humantrafficking #PedoWood As well as faux racism. Look at @billmaher vs @therealroseanne where is the Justice @nbc @cbs @FoxNews @seanhannity @maddow @TheView @DiamondandSilk @WattersWorld @TuckerCarlson @kanyewest @KimKardashian https://t.co/GVThhfbHmD
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2018_batch_300/1029592848562380800g.png,BRUH! My mom said this Haitian lady at church was gonna turn me into a cow with her voodoo. And then 20 min later sends me this—saying I need to stop taking to her before she makes me her food. 😂😂 Im WEAK! https://t.co/ROJfCYVO5U
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2018_batch_300/1029776717383131136g.png,"@SassySculptor @rcjhawk86 Raise a glass to America’s Military Heroes, not some concussed goon NFL player who couldn’t find Afghanistan on a globe if his miserable life depended on it. https://t.co/ahx3bF9Zdk"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2018_batch_300/1029778576328019969g.png,#blackisstrong #Blackisbeautiful https://t.co/YEeNf5Xsei
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2018_batch_300/1030296855345856514g.png,Even us hillbillies know... https://t.co/WhtsG7krUN
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2018_batch_300/1030512927789469696g.png,I think it’s time we revisit the cartoons from 1921 about American bigotry in furthering our understanding of Trumpist&amp;their wardrobe of hate (make America great again hats&amp;etc). Is it the modern day KKK robe? It serves a very similar purpose. - from the ACLU Annual Report 1921. https://t.co/3VNDD9Lp2z
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2018_batch_300/1030596462835453952g.png,"Remember all those women who were reporting POC for basically being ALIVE? Well, I think I found THE SOURCE! Remember THIS women? Kimberly Jean Davis, the county clerk for Rowan County, Kentucky. She denied a Gay Couple a Marriage License. Note the similarities! https://t.co/09dHMDkS55"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2018_batch_300/1030778435281608705g.png,"Trump-his version of good &amp; bad people: Good: any white male regardless of actions(until you criticize him), authoritarian dictators Bad: strong women, POC, reporters, democrats, our allies &amp; anyone who doesn't worship him. https://t.co/pZG9aunKhp"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2018_batch_300/1031238216421199872g.png,@LookAtDustin @FriendZonePod Black ppl so lit... we drop with season and sauce in a simple photo ☺️☺️☺️🤔 https://t.co/VwkcMaDAlb
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2018_batch_300/1031242684424441860g.png,"@bbusa617 They have the right to express their racism against America.. Ball chasers are entitle to be upset, Obama also let them down. https://t.co/R0fsaUTswj"
