image,text
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2019mixed/1079966033321041920g.png,#jimmyfallon es ahora una tendencia en #MexicoCity https://t.co/MqB1Ncaqm8 https://t.co/rV0JbkhbNG
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2019mixed/1079970787019448322g.png,@zona3noticias @EFToussaint @LegislativoJal @EnriqueAlfaroR Descubrió el hilo NEGRO https://t.co/9CyoN921Kw
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2019mixed/1079971156927696903g.png,@theblaze Big ass border wall is up! It has become an attractive ride for just 12.99 adults &amp; 6.99 for under 12. Proceeds go to the American children’s foundation for the mandatory civics classes that all kids must pass before entering 9th grade. https://t.co/jiMsXp0qY1
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2019mixed/1079972648929644545g.png,As the clock struck midnight and the new year is upon us our Gurdwara is singing wahe guru wahe guru wahe guru! #Powerful! #sikhs #sikhism #gurdwara #happynewyear2019 #happynewyear @unitedsikhs @sikhcoalition @sikhpa https://t.co/MPFDFUADAw
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2019mixed/1079976547031896064g.png,@StinkinGenius1 @Aaron_Torres - driving a truck hauling H2o in the oilfields of Central Texas. Making 💰💵💰💵! The BEST cure for a New Year's Eve induced hangover is #Mexican #Menudo https://t.co/jvYRFyCXPq
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2019mixed/1079977140316225537g.png,Coons Rule! Special Cameo: Mapache Asistente For @CCPerro Happy New Year everyone!! 🎉 #Furry #furryart #coon #raccoon #graffiti #tags #ccp #urban #ArtyandChikle https://t.co/CPams7suL9
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2019mixed/1079979788574560256g.png,@OsheaJacksonJr Bron Nigga!! https://t.co/OLCNnHnKUP
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2019mixed/1079982278951034880g.png,Only real niggas now https://t.co/lQzTcqCXwM
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2019mixed/1079985577955594240g.png,#añonuevoenconvoy es ahora una tendencia en #MexicoCity https://t.co/oeD4PkuOmW https://t.co/cBnBC4Olqf
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2019mixed/1079990771527438337g.png,"It’s crazy, feel like every Holiday I gotta celebrate for one of my brothers who ain’t here. Happy Birthday my nigga love you fam 🎊🍾 Lawrence 4L 💯 https://t.co/0tw9xX60In"
