batch,image,text
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355637-1545213565880098.png,"Northeast Cruisers are having a Car and motorcycle show at the parking lot of Tractor Supply in Bloomsburg on May 7 to help raise funds for our rescue! How cool is that? We will also have adoptable dogs there with us! Hot rods, classic cars, trucks and motorcycles are all being shown in a competition. There will be food and craft vendors as well! Please share this post with friends so we can have a great event for our doggies!"
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355647-5349789858373998.png,"Come on out to The Fishin’ Pig on Thursday, May 5, 2022 and check out these Cinco De Mayo specials! You don’t want to miss out! 🌶🔥🌶🔥 #cincodemayo🇲🇽🍻🌮 #itsafiesta🌮🌮🌮 #thefishinpig🎣🐷 P.S. This will be at the original location. 5169 Farmville Road Farmville, VA 23901"
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355656-472273307592116.png,"With Love, ❤️ Life's a Dance"
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355669-2860501287577564.png,We keep our word. #BIGDUB
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355675-5156922114398807.png,"“As inflation, interest rates and gas prices soar, I HAVE to ask. What’s more shocking? That he has so much power and influence over the economy and our pocketbooks, in general? Or that the chair of the Federal Reserve’s name is Jerome Powell and he’s not Black? It’s him not being Black, right? Did his parents lose a bet? Both Jerome and Powell are top tier Black names. Right up there with Marcus and Williams. Whatever. On to less important issues. If you haven’t heard, Jerome in the House, Without a Doubt and the Feds have been fighting for their mf life trying to control the raging inflation in the United States. Based on my life experiences, there seem to be three stages of grief, with each stage becoming more apparent and noticeable. It’s Anger, Denial and finally, Nigga. Jerome Jenkins Powell IV and the Federal Reserve are currently at ‘Nigga.’ The Federal Reserve recently raised interest rates by 75 bases points, or .75%. ‘.75%, that’s nothing,’ I uttered to myself, even though I probably had a F – in Econ 101. Well, it’s not nothing, unfortunately. This is the highest interest rate increase in 28 years. The Fed’s policies, guidance and decisions are the equivalent of Zeus sending bylaws to his Greek subjects; or Malcom X doing that hand gesture thingy, commanding his Nation of Islam brothers to fall back, as the white cop says, “That’s too much power for one man,” or whatever he said in the movie. When Jerome Lamont Powell Jr. raised interest rates this high, with more to come, he is essentially telling us the Feds are freaking the fuck out and are willing to do whatever they can to stop inflation, which includes risking a recession. In BET movie standards, we are at the part where the actions taken at the beginning of the movie are coming back to bite us in the ass. Consequences, that’s the word (And also the working title for our BET movie). The consequences of this country dumping trillions into the economy inflated the value of the dollar. Between gas prices, inflation and the stock market correcting itself because idiots, I mean people overvalued exercise bikes and streaming services, we are essentially, ummm, fucked.” ~ @tall_tyrion"
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355679-4678729128902831.png,"The Kern County Hispanic Chamber of Commerce Celebrates: Latinas in Business & Leadership Every March, our nation celebrates Women's History Month. The Kern County Hispanic Chamber of Commerce would like to take this opportunity to honor trailblazing women in business and leadership within our community.  It’s an honor to introduce you to Maria Coward, owner of La Costa Mariscos.  Maria came to the United States as a single mother hoping to build a future for her family. She never imagined that her struggle would give birth to what is now known as one of “Bakersfield’s Best”.  Maria opened La Costa Mariscos in downtown Bakersfield with 4 employees and a desire to share the flavors of her hometown of Puerto Vallarta with the community.  With over 150 employees and now 2 locations, La Costa will celebrate 30 years of business this coming fall.  “Our involvement with the KCHCC has provided opportunities to serve the community and to network with leaders in Kern County who share the vision to make Bakersfield an even better place to live.”"
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355686-10160522611390450.png,"Excited to share that Cherokee Elementary recently joined the ranks of Purple Star schools, a designation given by the Ohio Department of Education for a school's outstanding commitment to serving military-connected students and families. Don't miss out on the chance to join Lakota in a special district-wide spirit week to support ALL of our military families next week: 4/25 - Red, White & Blue Day 🇱🇷 4/26 - Support your Favorite Military Branch Day 💪 4/27 - Wear Camouflage Day 👷 4/28 - 💜 Purple Up! Day 💜 (in honor of Lakota’s three Purple Star Award Schools - Adena, East & Cherokee) 4/29 - ❤ Wear R.E.D. Day ❤ (Remember Everyone Deployed) #WEareLakota #WEsupportOurMilitaryFamilies #PurpleUpOhio"
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355688-6903325979739243.png,The daily struggle 😅
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355698-10158211860672030.png,"May is STACKED with concerts at The NorVa! Grab your tickets now at thenorva.com or at The NorVa box office, open Fridays 10a-5p and on show nights! LIMP BIZKIT has been added for Tue, May 3. Tix available now! Part of the Yuengling Concert Series"
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355709-3108965089359929.png,Bruh said what he said… ✊🏿✊🏾✊🏽 #UnapologeticallyBlack
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355745-10160140477477042.png,"This month, #SportingKC will highlight Black voices within our Club, community and front office. Our own Hartzell Gray joined us for a conversation on what #BlackHistoryMonth means to his every day. ""We have a good start but let’s do more."" Read: https://www.sportingkc.com/news/sporting-kc-in-stadium-host-hartzell-gray-speaks-on-black-history-month"
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355765-2498620563606751.png,"David A. Mcallister #Missing From Bettendorf, #Iowa Last seen-5/10/2017 NamUs #MP39170 Missing Age-22 Weight-160 lbs. Height-5'10"" Race-White Hair-Blonde Eyes-Blue Sex-Male Piercings-Ears Tattoo's -Tattoo of ""Stay"" inside right elbow' Tattoo of ""True"" inside left elbow; Tattoo of a small anarchy symbol between thumb and forefinger on right hand; Tattoo of a smiley face between his thumb and forefinger on left hand; Tattoo of ""Beer"" on left side of chest; Tattoo of a row of five stars on right side of chest; Tattoo of a peace sign on his back, right shoulder blade; Tattoo of a cross with an unfinished tattoo on right shoulder; Tattoo of a Yin and Yang symbol on upper left arm/shoulder; Tattoo of a marijuana leaf with ""4-20"" on calf David was last seen at his home in Bettendorf, IA on 05/10/2017. David left in the early hours of 05/11/2017 and said he would return that evening. His cell phone has not been used since before noon that day around Vender Veer park in Davenport, IA. Has not made contact with family, which is out of the norm, and hasn't been seen since. David enjoys camping and hiking. Incident Type-Endangered / physical David Mcallister was reported missing to the Bettendorf Police Department 563-344-4020, in Bettendorf on May 11, 2017. https://youtu.be/dKt9GTuSO58:=:https://www.youtube.com/watch?v=dKt9GTuSO58 #MissingDavidMcAllister #SeekingTheMissing #PleaseShare #nevergiveup https://www.kwqc.com/2021/04/09/have-you-seen-me-tv6-investigates-looks-into-disappearance-of-david-mcallister/"
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355769-7295247940545316.png,White Ribbons of Peace...
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355774-4562649243841781.png,Kat
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355779-7063467083694924.png,Once again they lied to us.
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355781-3206239022984982.png,Hey fam! Registration is now open for the Johns Hopkins Virtual Black amen In White Coats Youth Summit! You don't want to miss this! https://hopin.com/events/jhmibmwc
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355787-1493873984361589.png,"Official Statement on the Buffalo Shooting, Replacement Theory, and White Supremacy: With broken hearts we mourn the senseless loss of 10 beloved children of God who were killed in a grocery store in Buffalo, N.Y., on May 14. Celestine Chaney, Roberta Drury, Katherine Massey, Heyward Patterson, Aaron Salter, Pearl Young, Ruth Whitfield, Margus Morrison, Andre Mackneil, and Geraldine Talley were civil rights activists, community volunteers, parents, siblings, and friends. They were victims of a direct attack on a Black community — an attack that is emblematic of a rising wave of violence driven by white supremacists in the U.S. The alleged shooter sought to do more than kill. It was his intent to use this act of terrorism to promote the hateful ideology that drove his actions. In extensive writings shared publicly at the time of the attack, he stated clearly his fear that immigrants and Americans of color are being used to dilute white culture and political power. This “replacement theory” — once a fringe political view — has been more widely circulated in recent years as some Republican politicians and pundits have used their platforms to amplify this message, legitimizing its place in conservative political culture. As a result, a growing number of citizens and leaders now sanction elements of this theory. The rhetoric supporting it is increasingly violent, xenophobic, and antisemitic, fracturing the bonds that sustain our pluralistic society. America began with a claim that each individual was created equally and endowed by God with certain inalienable rights. We must embrace this claim with conviction. It is the reason our nation came to be. And because of this founding ideal, this country does not belong — and never has belonged — only to one race, one ethnicity, one religion, one culture. Those clinging to bigotry and white supremacy commit “blasphemy against the American creed.” As members of The Church of Jesus Christ of Latter-day Saints, we are committed to the doctrine that “all are alike unto God” and that “God is no respecter of persons.” An increasingly multiracial society is a welcome fulfillment of our national promise. People of diverse backgrounds living together in peace will be the hallmark of Zion. We echo President M. Russell Ballard’s call “to embrace God’s children compassionately and eliminate any prejudice, including racism, sexism, and nationalism.” White supremacy is a corrupting ideology. It is rooted in individual and cultural pride. It is driven by fear and seeks to spread fear that corrupts our nation, churches, schools, and homes. Because we know that “perfect love casteth out fear,” we cannot be passive in the face of this rising evil. We must each work boldly and actively to root out racism and create a just peace in our own hearts and in our communities. This is not easy or comfortable work; it will require courage, great love, and ongoing concrete action. As we welcome others with charity and seek unity in the midst of our differences, we lay the foundations of Zion. We encourage all to “renounce war and proclaim peace.” https://library.mormonwomenforethicalgovernment.org/official-statement-buffalo-shooting-replacement-theory-white-supremacy/ What concrete actions can you take or are you taking to root out racism? Comment below."
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355788-10159087619744200.png,The man wants to mayor of Austin. Some say it’s his to lose. What say you? He is quick the pump the socialist fist.
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355791-1103848200428080.png,"Remembering Betty White on her 100th birthday! We ask you to join the in #BettyWhiteChallenge and donate to Cat Tales. Cat Tales takes in over 1200 cats a year, as an all volunteer rescue we work hard to provide a loving, caring home while our cats await their forever homes. paypal: https://paypal.me/CatTalesRescueNH?country.x=US&locale.x=en_US:=:https://www.paypal.com/paypalme/CatTalesRescueNH venmo: https://account.venmo.com/u/Cat-Tales-1:=:https://venmo.com/u/Cat-Tales-1"
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355795-453035323490531.png,"Buddy of mine bet me that I wouldn't wear pair of these to a show. I told him nar one of my fans would want to see that. He called me a 😾. So I made a deal. If my fans come together and get them off my Amazon registry, I'll wear these bad boys cool-booty style to the Fireworks show on the 25th. #Merica 🇺🇲"
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355796-2315367401944024.png,"I can't quite wrap my head around how bonkers racist this is. Like, ""No, no, white people, WE'RE okay."" Holy fork."
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355797-1170922403480953.png,Groomed by misandry is my bet. & I'd bet safely. Smh. Protect your son king. They're gonna try to kill him. Literally. #CONTROLTHESITUATION #GUARDYOURSEED
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355799-5367804459905549.png,Jackie is an extremely sweet pittie searching for her forever home!
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355800-5030450843680804.png,"Come join us this Sunday! Other than a little wind, the weather is looking super with a high of 54 degrees!!!"
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355802-7710234359048379.png,"Over the last week, three of our teams have been training hard preparing for their next match. Starting last weekend we had six teams start off their state cup runs. Out of the six Missouri Rush teams entered into the competition, these three teams have advanced to the next weekend. For two of them, they will be fighting for advancement through semifinal matches and the other is going straight to their finals. Please check out the full article on our website. https://morushsoccer.demosphere-secure.com/missouri-rush-teams-competing-this-weekend"
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355806-371325791693131.png,"Listening is at the core of what we do! Speak less, listen more!"
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355807-5215862995103098.png,"#TroyNightOut special event highlight ✨ Street Taco VII is celebrating their first anniversary! The menu features a variety of items that highlight our Street Style Mexican Fusion. Fresh ingredients, unique blends of flavors, and vegan options have something for everyone. Visit tonight and enjoy complimentary cupcakes, while supplies last. Congrats on an amazing first year in #DowntownTroy! https://www.streettacovii.com:=:https://www.streettacovii.com/ https://fb.me/e/1wuEVKYMI Find more TNO special events, extended shopping hours, and more at https://www.downtowntroy.org/troynightout"
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355815-334527525501008.png,"Today should have been Michael Brown’s 26th birthday 🕯️ Today we're thinking about young lives cut short, and the systemic trauma experienced by so many Black Americans. 𝗕𝗹𝗮𝗰𝗸 𝗺𝗲𝗻 𝗱𝗲𝘀𝗲𝗿𝘃𝗲 𝘁𝗼 𝗴𝗿𝗼𝘄 𝗼𝗹𝗱. 𝘛𝘞: 𝘳𝘢𝘤𝘪𝘢𝘭 𝘷𝘪𝘰𝘭𝘦𝘯𝘤𝘦, 𝘵𝘳𝘢𝘶𝘮𝘢. On August 9, 2014, an unarmed 18-year-old Michael Orlandus Darrion Brown Jr. (May 20, 1996 - August 9, 2014) was shot and killed by 28-year-old, white police officer, Darren Wilson, in the city of Ferguson, Missouri. Witnesses offered corroborated stories of the shooting: that Brown had his hands raised as the officer repeatedly fired at him."
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355816-3111329929079825.png,Mexican Corn Salad 😍 https://ed.gr/dw49b:=:https://spaceshipsandlaserbeams.com/mexican-corn-salad/
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355817-370227111800307.png,Don't bet on it.
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355818-5302908939740526.png,Yup!
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355822-5923419584351291.png,"Reflection Stillness is not part of ordinary life in our society. We are always doing, going, rushing or talking. Cell phones are our constant connection with life outside of ourselves. We are not used to quiet or time for our own thinking, Yet, stillness is part of the awareness of the presence of the Sacred which we call prayer. It involves no commotion or agitation. Rather, to be still is to seek a serenity, a calm, a tranquility of being. We exchange our usual business, noise and activity for silence and quiet. We are free. We become aware. In experiencing stillness we can touch into our inner selves and open ourselves to the Holy Mystery within and around us. . Prayer I will bless you as long as I live; in your name I will lift up my hands Psalm 63 Action Review the times for stillness in your day. Where can you make this happen realistically? Suggested Readings At the mountain of God, Horeb, Elijah came to a cave where he took shelter. Then the Lord said to him, “Go outside and stand on the mountain before the Lord; the Lord will be passing by.” A strong and heavy wind was rending the mountains and crushing rocks before the Lord— but the Lord was not in the wind. After the wind there was an earthquake— but the Lord was not in the earthquake. After the earthquake there was fire— but the Lord was not in the fire. After the fire there was a tiny whispering sound. When he heard this, Elijah hid his face in his cloak and went and stood at the entrance of the cave. 1 Kings 19:9a Be still and know that I am God Psalm 46:10 Only in silence does man succeed in hearing…the voice of God, which really makes him free. Pope John Paul II In the business of this day Grant me a stillness of seeing, O God. In the conflicting voices of my heart Grant me a calmness of hearing, Let…my words and my actions Be rooted in a silent certainty of your presence. Let my passions for life… Be grounded in the experience of your stillness. J.Philip Newell Within you, there is a stillness and a sanctuary to which you can retreat at any time and be yourself. Hermann Hesse Sometimes you need to sit lonely on the floor in a quiet room in order to hear your own voice and not let it drown in the noise of others. Charlotte Eriksson In the midst of movement and chaos, keep stillness inside of you. Deepak Chopra My heart is tuned to the quietness that the stillness of nature inspires. Inayat Khan Learning how to be still, to really be still and let life happen – that stillness becomes a radiance. Morgan Freeman"
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355825-298313525674137.png,"On Betty White's 100th Birthday, we invite you to help us celebrate her enduring love of animals by making a small donation in her honor. 100% of funds raised will go directly to provide medical care for dogs saved from high-kill shelters in North Carolina and beyond. Here's the link: https://donorbox.org/peaklabhonorsbettywhite Happy Birthday in heaven, Betty! #BettyWhiteChallenge"
batch_4,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_4/355826-5508810505801684.png,Obie wants to be your forever Valentine ♥️ Come meet Obie.
